Dis No,Year,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Event Name,ISO,Start Year,Start Month,End Year,End Month,Total Deaths,Total Affected,"Total Damages, Adjusted ('000 US$)",CPI
2008-0513-KEN,2008,Natural,Hydrological,Landslide,Landslide,,KEN,2008,11,2008,11,10,20,,79.4563044
2008-0100-KEN,2008,Natural,Biological,Epidemic,Bacterial disease,Cholera,KEN,2008,2,2008,2,43,,,79.4563044
2008-0376-KEN,2008,Technological,Technological,Transport accident,Road,,KEN,2008,9,2008,9,15,24,,79.4563044
2008-9302-KEN,2008,Natural,Climatological,Drought,Drought,,KEN,2008,7,2009,,4,3800000,,79.4563044
2008-0129-KEN,2008,Natural,Hydrological,Flood,,,KEN,2008,3,2008,4,2,10000,,79.4563044
2008-0288-MEX,2008,Natural,Hydrological,Flood,Flash flood,,MEX,2008,7,2008,7,12,20000,,79.4563044
2008-0433-MEX,2008,Natural,Hydrological,Landslide,Landslide,,MEX,2008,9,2008,9,22,,,79.4563044
2008-0158-MEX,2008,Technological,Technological,Transport accident,Air,Helicopter Bell-212,MEX,2008,4,2008,4,11,,,79.4563044
2008-0531-MEX,2008,Technological,Technological,Transport accident,Air,Bi-motor,MEX,2008,11,2008,11,15,7,,79.4563044
2008-0198-MEX,2008,Technological,Technological,Transport accident,Road,,MEX,2008,5,2008,5,24,,,79.4563044
2008-0255-MEX,2008,Technological,Technological,Transport accident,Road,,MEX,2008,6,2008,6,14,28,,79.4563044
2008-0287-MEX,2008,Technological,Technological,Transport accident,Road,,MEX,2008,7,2008,7,11,,,79.4563044
2008-0494-MEX,2008,Technological,Technological,Transport accident,Road,,MEX,2008,10,2008,10,11,20,,79.4563044
2008-0512-MEX,2008,Technological,Technological,Transport accident,Road,,MEX,2008,11,2008,11,17,5,,79.4563044
2008-0248-MEX,2008,Technological,Technological,Miscellaneous accident,Other,,MEX,2008,6,2008,6,12,20,,79.4563044
2008-0367-TCD,2008,Natural,Hydrological,Flood,Riverine flood,,TCD,2008,7,2008,8,,6450,,79.4563044
2008-0445-TCD,2008,Natural,Hydrological,Flood,Riverine flood,,TCD,2008,9,2008,9,,8000,,79.4563044
2008-0448-TCD,2008,Natural,Biological,Epidemic,Viral disease,Hepatite E,TCD,2008,1,2008,10,22,1755,,79.4563044
2008-0599-USA,2008,Natural,Meteorological,Storm,Convective storm,,USA,2008,1,2008,1,4,,755132,79.4563044
2008-0601-USA,2008,Natural,Meteorological,Storm,Convective storm,,USA,2008,4,2008,4,3,,1384409,79.4563044
2008-0645-USA,2008,Natural,Meteorological,Storm,Convective storm,,USA,2008,4,2008,4,,200,138441,79.4563044
2008-0654-USA,2008,Natural,Meteorological,Storm,Convective storm,,USA,2008,12,2008,12,5,,453079,79.4563044
2008-0563-USA,2008,Natural,Meteorological,Extreme temperature ,Severe winter conditions,,USA,2008,12,2008,12,,,,79.4563044
2008-0099-USA,2008,Natural,Geophysical,Earthquake,Ground movement,,USA,2008,2,2008,2,,2103,,79.4563044
2008-0638-USA,2008,Natural,Hydrological,Flood,Riverine flood,,USA,2008,12,2009,1,,30000,,79.4563044
2008-0600-USA,2008,Natural,Meteorological,Storm,Extra-tropical storm,,USA,2008,1,2008,1,12,,1258553,79.4563044
2008-0352-USA,2008,Natural,Meteorological,Storm,Tropical cyclone,"Hurricane ""Gustav""",USA,2008,9,2008,9,43,2100000,8809874,79.4563044
2008-0378-USA,2008,Natural,Meteorological,Storm,Tropical cyclone,Hurricane Hanna,USA,2008,8,2008,8,7,,201369,79.4563044
2008-0253-USA,2008,Natural,Climatological,Wildfire,Forest fire,,USA,2008,6,2008,7,1,300,128372,79.4563044
2008-0356-USA,2008,Technological,Technological,Transport accident,Air,Bimoteur,USA,2008,8,2008,8,10,,,79.4563044
